"JID","month","decision_year","court","JYEAR","JCASE","JNO","JDATE","JTITLE","JFULL_len","工程次數","src_path","json_file","read_status","judgment_text_available","penalty_keyword_count","delay_keyword_count","reduction_keyword_count","strong_reduction_keyword_count","first_layer_score","second_layer_score","strong_reduction_score","relevance_score","matched_penalty_terms","matched_delay_terms","matched_reduction_terms","matched_strong_reduction_terms","matched_first_layer_terms","is_overdue_penalty_candidate","is_penalty_reduction_high_relevance","first_layer_snippet","reduction_snippet"
"TCHV,109,建上,48,20221228,1","202212","2022","臺灣高等法院臺中分院民事","109","建上","48","20221228","給付工程款","42374","343","202212/臺灣高等法院臺中分院民事/TCHV,109,建上,48,20221228,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202212/臺灣高等法院臺中分院民事/TCHV,109,建上,48,20221228,1.json","ok","1","23","34","5","2","57","5","2","75","逾期違約金;違約金","工期;逾期;遲延","相當;過高","過高","工期;逾期;逾期違約金;違約金;遲延","1","1","河川局於106年7月5日完成 驗收。該工程因第三河川局以105年12月14日函，認該工程1 52顆混凝土塊未符合契約品質要求，迄未同意竣工，仍為施 工逾期狀態，計逾期107日，於105年12月8日終止系爭梅園 工程合約。惟就第三河川局所稱混凝土塊不合格一事，久鈺 公司亦於105年9月13日自費申請台灣土木技師公會","化地方法院（下稱彰化地院） 106年度建字第34號民事判決認為：按定作人於承攬人完成 工作時，雖其工作有瑕疵，仍無解於應給付報酬之義務，僅 定作人得定相當期限請求承攬人修補，如承攬人不於所定期 限內修補瑕疵，或拒絕修補，或其瑕疵不能修補者，定作人 得依民法第494條之規定請求減少報酬而已。次按定作人之"
"TPSV,112,台上,869,20230524,1","202305","2023","最高法院民事","112","台上","869","20230524","請求給付工程款","5611","65","202305/最高法院民事/TPSV,112,台上,869,20230524,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202305/最高法院民事/TPSV,112,台上,869,20230524,1.json","ok","1","4","53","3","3","57","3","3","75","逾期違約金;違約金","工期;展延;逾期;遲延","過高","過高","工期;展延;逾期;逾期違約金;違約金;遲延","1","1","下逕稱編號），及編號5工項之 79萬8,916元］。 ㈡系爭工程已完工驗收，惟被上訴人迄僅支付5,056萬7,009元 ，扣除附表編號10、11二審判決欄之逾期違約金、罰款，尚 積欠伊914萬9,509元工程款，經伊於103年4月9日催告，仍 遲未給付。 ㈢依系爭工程契約，除第一審及原審命被上訴人給付421萬6,15","、 第二次申請展延分析表資料，均未經被上訴人核准，無法作 為工程工期展延或逾期天數之判定標準，且上訴人未證明其 施作填方工程時，因下雨土壤受濕致含水量過高，致須翻曬 風乾而可展延工期之情，其據以申請展延工期44日，亦無理 由。 ㈥依系爭工程契約第36條、系爭土石標契約第4條第3款約定、 注意事項第1"
"SLDV,111,建,32,20240320,1","202403","2024","臺灣士林地方法院民事","111","建","32","20240320","給付工程款","17811","105","202403/臺灣士林地方法院民事/SLDV,111,建,32,20240320,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202403/臺灣士林地方法院民事/SLDV,111,建,32,20240320,1.json","ok","1","23","14","7","6","37","7","6","75","違約金","工期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;逾期;違約金;遲延","1","1","，並以之互為抵銷 。再伊代原告支付積欠其他廠商30萬元款項，得依民法第17 9條規定，請求被告返還，並以之互為抵銷。另系爭契約第4 條約定，系爭工程之工期為240工作天，而系爭工程於104年 8月21日開工，於109年5月9日始申請使用執照，已逾期937 日，伊得依系爭契約第10條約定，請求原告給付違約金共計","乃因水土保持技師黃騰輝設計錯誤、建築師楊煌進變更設計 及被告追加工程所致，則其執前詞主張逾期完工有不可歸責 之事由云云，自非可採。 ⑹原告主張上開違約金有過高情事等語。按約定之違約金額過 高者，法院得減至相當之數額，民法第252條定有明文。次 按我國民法所定違約金有兩種，一為以預定債務不履行之損 害賠償為目"
"TPHV,113,建上更一,8,20250218,1","202502","2025","臺灣高等法院民事","113","建上更一","8","20250218","給付工程款","17379","192","202502/臺灣高等法院民事/TPHV,113,建上更一,8,20250218,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202502/臺灣高等法院民事/TPHV,113,建上更一,8,20250218,1.json","ok","1","17","18","8","6","35","8","6","75","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","相當;酌減;第252條;過高","酌減;第252條;過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","求之 鳳翔1、3工程工程款中扣除。再者，伊於107年9月25日催告 迅捷公司修補瑕疵，然至伊於108年7月25日與業主驗收時， 缺失仍存在，是迅捷公司逾期未修繕瑕疵，依系爭契約第8 條第4項、第7條第3項約定，應給付自107年10月7日起至108 年7月25日止之逾期違約金共130萬2,712元【（4,193,6","情， 迅捷公司應無可能同意台銀資產公司減少支付工程款1,065 萬4,058元。又上開減少之金額與周昌發公司承攬系爭鋼構 工程之工程總價1,050萬元相當，且證人即台銀資產公司副 總經理王玉書於11號訴訟中結證：系爭鋼構工程款項總共是 1,050萬元，除了周昌發公司請款的315萬元已付外，其他款 項都還"
"PTDV,111,訴,66,20221027,1","202210","2022","臺灣屏東地方法院民事","111","訴","66","20221027","履行契約等","5584","1","202210/臺灣屏東地方法院民事/PTDV,111,訴,66,20221027,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202210/臺灣屏東地方法院民事/PTDV,111,訴,66,20221027,1.json","ok","1","10","6","11","9","16","11","9","74","違約金","逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","逾期;違約金;遲延","1","1","經簽章，無法確認係由何人 製 作，且就燁聯公司或中鋼公司之文件，原告最終是否受有扣 款或罰款，原告未提出任何證據以實其說。退步而言，縱假 設系爭螢石有遲延或品質不符之瑕疵，依兩造買賣契約書第 12條、第15條關於成分罰則、逾期罰款之約定，均屬違約金 之性質，然本件買賣價金僅5,658,000元，該違約金金額已","之性質，然本件買賣價金僅5,658,000元，該違約金金額已 占百分之45，而我國工程實務違約金上限約為百分之10至15 ，顯已高出百分之30，被告自得依民法第252條規定，請求 酌減違約金等語置辯。並聲明：⑴原告之訴及假執行之聲請 均駁回。⑵如受不利判決，被告願供擔保，請准宣告免為假 執行。 三、得心證之理由："
"PCDV,111,訴,1541,20230217,1","202302","2023","臺灣新北地方法院民事","111","訴","1541","20230217","履行契約","11661","1","202302/臺灣新北地方法院民事/PCDV,111,訴,1541,20230217,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣新北地方法院民事/PCDV,111,訴,1541,20230217,1.json","ok","1","19","3","10","8","22","10","8","74","違約金","遲延","相當;酌減;過高","酌減;過高","違約金;遲延","1","1","尚應額償甲方伍佰萬元整。 」，約明兩造簽署系爭協議書後，如發生被告對原告有騷 擾或影響原告所營事業之情事，被告亦須擔負500萬元之 懲罰性違約金責任，顯見具有雙方相互制約，而達到雙方 均確實依據系爭協議書履行之目的。惟犯罪之被害人，得 為告訴；不論何人知有犯罪嫌疑者，得為告發，刑事訴訟","自我拘束所形成之當事人間之規範，本諸契約自由之精神及 契約神聖與契約嚴守之原則，契約當事人對於其所約定之違 約金數額，原應受其約束。惟倘當事人所約定之違約金過高 者，為避免違約金制度造成違背契約正義等值之原則，法院 得參酌一般客觀事實、社會經濟狀況及當事人所受損害情形 ，依職權減至相當之金額。又違約金過高之事"
"TNHV,111,建上更二,5,20230411,1","202304","2023","臺灣高等法院臺南分院民事","111","建上更二","5","20230411","給付工程款等","11542","57","202304/臺灣高等法院臺南分院民事/TNHV,111,建上更二,5,20230411,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202304/臺灣高等法院臺南分院民事/TNHV,111,建上更二,5,20230411,1.json","ok","1","11","39","4","4","50","4","4","74","違約金","工期;展延;遲延","酌減;過高","酌減;過高","工期;展延;違約金;遲延","1","1","「龍宮溪排水系統（大寮地區）-東港 里村落圍堤改善工程（第一期A標）」（下稱系爭工程）， 決標金額新臺幣（下同）6152萬元，開工日為同年月11日， 工期395日曆天。 ㈡開工後，迭因上訴人遲未完成土地徵收取得用地等協力義務 、屢變更設計等不可歸責於伊之事由，致要徑作業受阻，而 停工及展延工期共406 天，","請求上訴人給付464萬4252元，有無理由？上訴人抗辯依契 約第4條第2項減價扣款及違約金並予扣抵(或抵銷)，有無理 由？上訴人受有何損害？違約金數額有無過高？得否酌減？ ： ⒈經查系爭工程之蜂巢格網工項完工後，遭莫拉克颱風沖毀 後，被上訴人就蜂巢格網工項已修復一節，業據提出施工前 、施工中、施工"
"ILDV,109,建,1,20240530,2","202405","2024","臺灣宜蘭地方法院民事","109","建","1","20240530","給付承攬報酬","24436","213","202405/臺灣宜蘭地方法院民事/ILDV,109,建,1,20240530,2.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202405/臺灣宜蘭地方法院民事/ILDV,109,建,1,20240530,2.json","ok","1","19","35","6","2","54","6","2","74","逾期違約金;違約金","工期;展延;逾期;遲延","相當;酌減;過高","酌減;過高","工期;展延;逾期;逾期違約金;違約金;遲延","1","1","始終未配合，至108年1月12日原告委託律師發函請求被告儘 速指定廠牌、型號、顏色，被告仍置之不理。因此系爭工程 至今未完工應歸責於被告，被告主張原告逾期，洵無理由。 又原告催告被告指定地磚及油漆之廠牌、型號、顏色，因被 告拒不為之，導致系爭工程拖延數年仍無法完成，故原告除 解除契約外，並得請求賠償因解","曾要求被告指定廠牌、型號、顏色等項目 ，而逕行施作。是原告完成系爭工程自始無被告為指定廠牌 、型號、顏色之協力義務。縱認被告有指定義務，原告亦未 指定相當期限進行催告，不得以此做為工程並未逾期之藉口 。 ⒌縱認原告於108年1月12日催告被告指定廠牌之說法為可採， 原告並未解除契約或主張損害賠償，迄今再為何"
"PCDV,114,重訴,175,20260130,1","202601","2026","臺灣新北地方法院民事","114","重訴","175","20260130","履行契約等","19033","39","202601/臺灣新北地方法院民事/PCDV,114,重訴,175,20260130,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202601/臺灣新北地方法院民事/PCDV,114,重訴,175,20260130,1.json","ok","1","12","52","3","1","64","3","1","74","違約金","工期;展延;逾期;遲延","相當;過高","過高","工期;展延;逾期;違約金;遲延","1","1","土地之新建 工程領得使用執照後兩個月辦理正式動工，全部工程自正式 動工日起算五四○工作天內提出使用執照申請；完工日期之 認定，以核發使用執照日為準，每逾期一日，應以甲方分得 房屋之法定工程總造價之千分之一計算罰金，惟如因政令變 更、天災及地變等不可抗力之因素、地主土地有糾紛因而延 誤或其他不可歸責於乙方","舉證之責任，民事訴訟法第277條前段定有明文。所謂舉證 係指就爭訟事實提出足供法院對其所主張者為有利認定之證 據而言，若所舉證據，不能對其爭訟事實為相當之證明，自 無從認定其主張為真正。而民事訴訟如係由原告主張權利者 ，應先由原告負舉證之責，若原告先不能舉證，以證實自己 主張之事實為真實，則被告就其抗"
"TYDV,111,建,10,20230109,1","202301","2023","臺灣桃園地方法院民事","111","建","10","20230109","給付報酬","12465","72","202301/臺灣桃園地方法院民事/TYDV,111,建,10,20230109,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣桃園地方法院民事/TYDV,111,建,10,20230109,1.json","ok","1","3","64","1","1","67","1","1","73","逾期違約金;違約金","工期;展延;展期;逾期;遲延","酌減","酌減","工期;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","法第255條第1項第3款、定有明文。本件原告起訴時原聲明 請求被告應給付新臺幣（下同）2,716,110元及自起訴狀繕 本送達翌日起至清償日止，按年息5﹪計算之遲延利息。嗣於 訴訟繫屬中，聲明變更如下述，核其變更先後之聲明，係基 於同一基礎事實，依前揭規定，自應准許，合先敘明。 二、實體方面： ㈠、原告主張： １、被","作為之狀態，宏泰公司逾389日完工，原告顯與有 過失，縱認其請求變更設計、擴充工程、逾期完工等情，據 以請求增加533日之監造服務費用2,716,110元，應予酌減百 分之八十，即其請求逾20%(543,222元）之監造費用部分， 均無理由。 ４、聲明：原告之訴及假執行聲請均駁回。如受不利之判決，被 告願供擔保"
"KSHV,112,建上,17,20231219,1","202312","2023","臺灣高等法院高雄分院民事","112","建上","17","20231219","給付工程款等","15441","59","202312/臺灣高等法院高雄分院民事/KSHV,112,建上,17,20231219,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202312/臺灣高等法院高雄分院民事/KSHV,112,建上,17,20231219,1.json","ok","1","15","18","8","6","33","8","6","73","違約金","工期;逾期;遲延","相當;酌減;第252條;過高","酌減;第252條;過高","工期;逾期;違約金;遲延","1","1","未遵期履行，被上訴人即委託律 師依契約第7條第8項約定，於106年12月13日向上訴人發函 終止契約，並另僱工完成拆除工作。是本件因上訴人施作瑕 疵及工期延宕所生如附表二所示之代僱工費用、鄰損修繕費 用及逾期罰款，分別自其工程尾款扣抵或抵銷後，已無剩餘 ，上訴人請求給付工程款自無理由等語置辯。聲明：㈠上訴","未領， 有無理由？ ⒈系爭工程連續壁部分是否已完成？ 按承攬工作之完成與工作有無瑕疵係屬二事，承攬人完成工 作時，縱其工作有瑕疵，亦僅生定作人是否定相當期限請求 承攬人修補，並視瑕疵能否修補及承攬人修補與否，而得解 除契約或減少報酬之問題，定作人仍不免其給付報酬之義務 。被上訴人固抗辯W4單元施作有瑕"
"TPDV,109,建,316,20210112,1","202101","2021","臺灣臺北地方法院民事","109","建","316","20210112","給付工程款等","5968","39","202101/臺灣臺北地方法院民事/TPDV,109,建,316,20210112,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣臺北地方法院民事/TPDV,109,建,316,20210112,1.json","ok","1","14","8","11","7","22","11","7","72","違約金","遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","違約金;遲延","1","1","拒絕給付剩餘完工款190萬元、驗收款190萬元、返還系爭支 票。原告於109年6月11日再次發函催告被告給付工程款380 萬元、返還系爭支票、依約給付懲罰性違約金，且因被告遲 延付款，原告依系爭合約第19條第3項終止系爭合約。被告 嗣與原告聯繫，原告同意折讓系爭工程總價為1550萬6028元 ，並經被告於109","即票面同額金額570萬元與原告等情，並有系爭合約及原告 催告、請求返還系爭支票及終止系爭合約之存證信函等在卷 可參（分見本院卷第33、81至83頁），被告已於相當時期受 合法通知，而於言詞辯論期日不到場，亦未提出準備書狀爭 執，依民事訴訟法第280條第3項準用第1項規定，視同對原 告主張之此部分事實為自認，是原"
