month,court,JID,JYEAR,JCASE,JNO,JDATE,JTITLE,JFULL_len,工程次數,命中依據,JPDF,src_path
202305,臺灣高等法院民事,"TPHV,111,重上更二,147,20230524,1",111,重上更二,147,20230524,給付承攬報酬,22120,3,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPHV/111%2c%e9%87%8d%e4%b8%8a%e6%9b%b4%e4%ba%8c%2c147%2c20230524%2c1.pdf,"202305/臺灣高等法院民事/TPHV,111,重上更二,147,20230524,1.json"
202305,臺灣高等法院民事,"TPHV,112,上,18,20230524,1",112,上,18,20230524,代位返還履約保證金,10618,34,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPHV/112%2c%e4%b8%8a%2c18%2c20230524%2c1.pdf,"202305/臺灣高等法院民事/TPHV,112,上,18,20230524,1.json"
202305,臺灣高等法院臺中分院民事,"TCHV,110,建上,18,20230503,2",110,建上,18,20230503,給付工程款,24608,163,標題,https://data.judicial.gov.tw/opendl/JDocFile/TCHV/110%2c%e5%bb%ba%e4%b8%8a%2c18%2c20230503%2c2.pdf,"202305/臺灣高等法院臺中分院民事/TCHV,110,建上,18,20230503,2.json"
202305,臺灣高等法院臺中分院民事,"TCHV,111,建上更一,67,20230503,1",111,建上更一,67,20230503,給付工程款,12080,82,標題,https://data.judicial.gov.tw/opendl/JDocFile/TCHV/111%2c%e5%bb%ba%e4%b8%8a%e6%9b%b4%e4%b8%80%2c67%2c20230503%2c1.pdf,"202305/臺灣高等法院臺中分院民事/TCHV,111,建上更一,67,20230503,1.json"
202305,臺灣高等法院臺中分院民事,"TCHV,111,建上更二,31,20230517,1",111,建上更二,31,20230517,請求給付工程款,25279,205,標題,https://data.judicial.gov.tw/opendl/JDocFile/TCHV/111%2c%e5%bb%ba%e4%b8%8a%e6%9b%b4%e4%ba%8c%2c31%2c20230517%2c1.pdf,"202305/臺灣高等法院臺中分院民事/TCHV,111,建上更二,31,20230517,1.json"
202305,臺灣高等法院臺中分院民事,"TCHV,112,建上,29,20230525,1",112,建上,29,20230525,損害賠償等,5589,25,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TCHV/112%2c%e5%bb%ba%e4%b8%8a%2c29%2c20230525%2c1.pdf,"202305/臺灣高等法院臺中分院民事/TCHV,112,建上,29,20230525,1.json"
202305,臺灣高等法院臺中分院民事,"TCHV,112,建上,4,20230531,1",112,建上,4,20230531,給付工程款,5843,37,標題,https://data.judicial.gov.tw/opendl/JDocFile/TCHV/112%2c%e5%bb%ba%e4%b8%8a%2c4%2c20230531%2c1.pdf,"202305/臺灣高等法院臺中分院民事/TCHV,112,建上,4,20230531,1.json"
202305,臺灣高等法院臺南分院民事,"TNHV,108,建上,23,20230504,2",108,建上,23,20230504,設定抵押權登記等,31166,323,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/108%2c%e5%bb%ba%e4%b8%8a%2c23%2c20230504%2c2.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,108,建上,23,20230504,2.json"
202305,臺灣高等法院臺南分院民事,"TNHV,109,建上,5,20230525,3",109,建上,5,20230525,給付服務費,40293,115,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/109%2c%e5%bb%ba%e4%b8%8a%2c5%2c20230525%2c3.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,109,建上,5,20230525,3.json"
202305,臺灣高等法院臺南分院民事,"TNHV,110,建上,3,20230511,1",110,建上,3,20230511,給付工程款,22747,92,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/110%2c%e5%bb%ba%e4%b8%8a%2c3%2c20230511%2c1.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,110,建上,3,20230511,1.json"
